country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","26-03-2025 17:00:00",26.446912,91.439057,PM10,103,500,316
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","26-03-2025 17:00:00",26.446912,91.439057,SO2,1,109,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA","26-03-2025 17:00:00",24.82827,92.79525,NH3,1,2,1
India,Assam,Silchar,"Tarapur, Silchar - PCBA","26-03-2025 17:00:00",24.82827,92.79525,OZONE,1,11,6
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-03-2025 17:00:00",26.146529,87.454184,PM2.5,37,237,96
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-03-2025 17:00:00",26.146529,87.454184,SO2,24,31,27
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-03-2025 17:00:00",26.146529,87.454184,CO,22,64,30
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-03-2025 17:00:00",25.5626095,84.663264,PM10,67,235,96
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-03-2025 17:00:00",25.5626095,84.663264,NH3,1,1,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-03-2025 17:00:00",25.5626095,84.663264,SO2,5,10,9
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","26-03-2025 17:00:00",25.251013,86.989001,OZONE,18,27,20
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","26-03-2025 17:00:00",25.265194,87.012947,NO2,9,10,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","26-03-2025 17:00:00",25.204762,85.514960,CO,10,12,12
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","26-03-2025 17:00:00",25.567520,83.966379,PM10,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","26-03-2025 17:00:00",25.567520,83.966379,SO2,3,17,8
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","26-03-2025 17:00:00",25.567520,83.966379,OZONE,2,189,120
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","26-03-2025 17:00:00",25.7808257,84.7446768,NO2,4,30,16
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","26-03-2025 17:00:00",25.7808257,84.7446768,SO2,3,36,16
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-03-2025 17:00:00",25.5626095,84.663264,OZONE,14,184,184
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","26-03-2025 17:00:00",24.75746,84.366208,PM10,60,416,171
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","26-03-2025 17:00:00",25.42742023,86.13886079,PM10,29,374,123
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","26-03-2025 17:00:00",25.42742023,86.13886079,NO2,38,119,78
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","26-03-2025 17:00:00",25.42742023,86.13886079,OZONE,1,27,10
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","26-03-2025 17:00:00",26.80365,84.51954,NO2,27,31,28
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","26-03-2025 17:00:00",25.251013,86.989001,NH3,1,3,2
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","26-03-2025 17:00:00",17.72,83.3,NO2,43,60,48
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","26-03-2025 17:00:00",17.72,83.3,CO,10,26,19
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-03-2025 17:00:00",27.103358,93.679645,SO2,6,7,7
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","26-03-2025 17:00:00",27.103358,93.679645,OZONE,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","26-03-2025 17:00:00",26.071318,91.87488,PM10,78,500,313
India,Assam,Guwahati,"IITG, Guwahati - PCBA","26-03-2025 17:00:00",26.2028636,91.70046436,NO2,1,12,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-03-2025 17:00:00",14.465052,78.824187,SO2,15,16,15
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-03-2025 17:00:00",14.465052,78.824187,CO,31,35,34
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","26-03-2025 17:00:00",13.67,79.35,NH3,1,2,1
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-03-2025 17:00:00",13.615387,79.409230,PM10,32,133,74
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-03-2025 17:00:00",13.615387,79.409230,NH3,1,5,2
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","26-03-2025 17:00:00",26.10887,91.589544,PM10,72,279,184
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","26-03-2025 17:00:00",26.10887,91.589544,SO2,7,16,13
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","26-03-2025 17:00:00",26.10887,91.589544,OZONE,14,19,16
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","26-03-2025 17:00:00",26.187500,91.744194,SO2,30,53,41
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","26-03-2025 17:00:00",26.349082,92.68449,PM10,31,141,101
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","26-03-2025 17:00:00",16.536107,80.594233,SO2,7,9,8
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-03-2025 17:00:00",16.509717,80.612222,PM2.5,61,84,74
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-03-2025 17:00:00",16.509717,80.612222,SO2,8,11,9
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","26-03-2025 17:00:00",16.554731,80.649110,NO2,14,17,15
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","26-03-2025 17:00:00",14.675886,77.593027,NH3,6,14,9
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","26-03-2025 17:00:00",13.204880,79.097889,NO2,8,16,13
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","26-03-2025 17:00:00",11.654054,92.734055,PM2.5,3,160,36
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","26-03-2025 17:00:00",11.654054,92.734055,NH3,1,5,2
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","26-03-2025 17:00:00",24.7955,84.9994,NO2,1,12,8
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","26-03-2025 17:00:00",24.762518,84.982348,NH3,3,4,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","26-03-2025 17:00:00",26.11442,85.39813,NO2,6,34,18
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","26-03-2025 17:00:00",26.11442,85.39813,CO,16,107,32
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","26-03-2025 17:00:00",26.1403345,85.3650192,NH3,2,4,2
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","26-03-2025 17:00:00",26.1403345,85.3650192,SO2,4,8,6
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","26-03-2025 17:00:00",26.1209,85.3647,NO2,9,15,10
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","26-03-2025 17:00:00",26.1209,85.3647,CO,10,50,25
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","26-03-2025 17:00:00",25.586562,85.043586,PM2.5,28,108,67
